species,spp_concat,code,abbrev,common_name,type,occupancy_decline,significant,minLat,maxLat,intercept,slope,mass_high_lat,mass_low_lat,mass_lat_change,resids,clutch_size,territoriality,elevational_preference,range_margin,habitat,diet,migratory,migratory2,mass,density_of_fibers,vertnet_mass,shortwave_absorptance_dorsal,shortwave_absorptance_ventral,longwave_absorptance,feather_length_dorsal,feather_length_ventral,insulation_depth_dorsal,insulation_depth_ventral,length,width,height,emissivity,physiology_known,version,water_threshold,physiology_known_master,body_temperature_min,body_temperature_max,lower_critical_temperature,upper_critical_temperature,water_heat_ratio_slope,water_heat_ratio_intercept,body_temperature_slope1,body_temperature_slope2,body_temperature_intercept,water_loss_slope,water_loss_intercept,citations,notes
Catharus guttatus,Catharusguttatus,HETH,Cagutta,Hermit Thrush,bird,-0.153638083,TRUE,20.86111111,59.82527778,27.16068239,-0.181819759,28.71221039,23.3677202,-21.12946893,0.029396079,3.7,A,1,south,3,2,2,T,30.6,4991.3314,25.294011,0.791532521,0.682429481,0.96,0.018444444,0.019555556,0.00625,0.004716667,0.081333333,0.031666667,0.034666667,0.97,0,no_physiology,-2.956956998,0,39,40,25,35,,,,,,,,,
Catherpes mexicanus,Catherpesmexicanus,CANW,Cmexica,Canyon Wren,bird,-0.111838588,TRUE,23.387557,46.6578,11.49694045,-0.015196949,11.43906545,11.14152094,-2.604774498,-0.010911128,5.5,A,0,none,2,2,1,R,11.6,3931.7204,11.423043,0.844929023,0.712319046,0.96,0.01555556,0.011555556,0.004066667,0.004,0.058,0.023,0.02133,0.97,0,no_physiology,-1.79081236,0,39,40,25,35,,,,,,,,,
Charadrius vociferus,Charadriusvociferus,KILL,Cvocife,Killdeer,bird,-0.19504918,TRUE,23.387557,58.3449,91.53469859,-0.523722471,91.67435809,79.28610945,-15.60823502,0.042385636,4,A,0,none,1,2,1,R,94.3,8543.8167,79.369952,0.773904504,0.419381807,0.96,0.028555556,0.021,0.0071,0.005666667,0.118333333,0.046,0.043666667,0.97,0,no_physiology,-5.95555332,0,39,40,25,35,,,,,,,,,
Contopus cooperi,Contopuscooperi,OSFL,Ccooper,Olive-sided Flycatcher,bird,-0.204730139,TRUE,29.06028,55.25,32.71127346,0.002705172,32.70417238,32.78988652,0.259021061,-0.102669509,3,A,1,patchy,3,2,3,N,32.8,5114.0232,33.09157,0.772492335,0.506312309,0.96,0.020222222,0.019666667,0.0069,0.0048,0.090666667,0.035333333,0.033333333,0.97,0,no_physiology,-2.670720235,0,39,40,25,35,,,,,,,,,
Eremophila alpestris,Eremophilaalpestris,HOLA,Ealpest,Horned Lark,bird,-0.146824716,TRUE,23.05,59.894448,29.99816736,-0.051573311,30.43825944,28.80940254,-5.521212857,-0.248045649,3.5,A,0,none,4,3,1,R,34.2,5192.0998,29.501795,0.74489933,0.560993566,0.96,0.020666667,0.017555556,0.005783333,0.0052,0.085333333,0.033666667,0.031333333,0.97,0,no_physiology,-2.596623119,0,39,40,25,35,,,,,,,,,
Falco mexicanus,Falcomexicanus,PRFA,Fmexica,Prairie Falcon,bird,-0.412723834,TRUE,32.3106389,49.4167,519.3312619,8.618234402,536.7113967,797.7919216,43.58219097,0.02186068,4.2,other,0,none,2,1,1,R,754.5,11650.15,599.053235,0.710990569,0.383088036,0.96,0.038888889,0.041666667,0.0115,0.0076,0.283333333,0.093333333,0.075,0.97,0,no_physiology,-14.77447329,0,39,40,25,35,,,,,,,,,
Falco sparverius,Falcosparverius,AMKE,Fsparve,American Kestrel,bird,-0.48474401,TRUE,23.366591,55.25,105.783423,-0.751739708,107.5249558,88.2178287,-20.04543515,0.113931791,4.6,A,0,none,1,1,1,R,115.5,9726.1195,96.316827,0.683123459,0.602379273,0.96,0.035888889,0.025111111,0.008366667,0.008766667,0.142,0.056,0.052,0.97,0,no_physiology,-5.935421965,0,39,40,25,35,,,,,,,,,
Geothlypis trichas,Geothlypistrichas,COYE,Gtricha,Common Yellowthroat,bird,-0.123180328,TRUE,20.645,58.3449,10.37215379,-0.042831958,10.67340509,9.487888017,-12.07821674,-0.003772224,4,A,0,none,1,2,2,T,9.7,3825.7593,9.815332,0.812906586,0.61732379,0.96,0.015555556,0.014888889,0.006416667,0.004116667,0.065333333,0.025,0.025666667,0.97,0,no_physiology,-1.609750532,0,39,40,25,35,,,,,,,,,
Haemorhous mexicanus,Haemorhousmexicanus,HOFI,Hmexica,House Finch,bird,-0.059134931,FALSE,20.79893,47.67139,21.04487944,-0.093460649,21.01684125,19.10099794,-9.709503012,0.005364616,4.3,other,0,none,1,4,1,R,21.4,4478.2566,19.731631,0.725562185,0.628382484,0.96,0.015,0.014888889,0.0059,0.006233333,0.074,0.03,0.027666667,0.97,0,physiology,-0.745850483,1,41.1,44.8,25,39.33,0.10425,0.0082619,0.025225,0.0024776,37.255,0.14982,0.58648,1: Tb min and max and UCT; Smith et al. 2025,
Junco hyemalis,Juncohyemalis,DEJU,Jhyemal,Dark-eyed Junco,bird,-0.173520807,TRUE,29.2735338,59.5667,19.17621679,-0.072016342,19.52489615,17.06804397,-13.52448231,-0.269209871,4,A,1,patchy,3,3,1,R,19.5,4372.2955,18.165961,0.803727981,0.714986651,0.96,0.015222222,0.016888889,0.006666667,0.004966667,0.070333333,0.030333333,0.027333333,0.97,0,physiology,-1.386540715,1,42,42.2,30,40,0.029548,0.094935,0,0,42.2,0.015113,60.686,1: Tb = Swamson 1991,
Loxia curvirostra,Loxiacurvirostra,RECR,Lcurvir,Red Crossbill,bird,-0.188172762,TRUE,28.56806,59.2295,32.32315872,0.075503192,31.95759718,34.48013844,7.676590368,0.104332761,3.4,other,1,patchy,3,3,1,R,39.5,5487.6755,32.860178,0.748221346,0.662352802,0.96,0.016222222,0.014333333,0.005466667,0.003533333,0.085333333,0.032333333,0.032333333,0.97,0,no_physiology,-3.007427746,0,39,40,15,35,,,,,,,,,
Mimus polyglottos,Mimuspolyglottos,NOMO,Mpolygl,Northern Mockingbird,bird,-0.474957125,TRUE,21.884444,46.728691,42.05141263,0.199167797,42.75015899,46.41008913,8.216434858,0.022672697,3.9,A,0,none,1,3,1,R,48.5,5989.5965,44.544017,0.760545273,0.533061537,0.96,0.025555556,0.022666667,0.006566667,0.004066667,0.107333333,0.042666667,0.043333333,0.97,0,no_physiology,-4.137558306,0,39,40,25,35,,,,,,,,,
Oreortyx pictus,Oreortyxpictus,MOUQ,Opictus,Mountain Quail,bird,-0.164505675,TRUE,30.883333,47.2874724,239.0080527,-0.77528617,238.5558027,215.0646317,-10.95025479,-0.016019688,10,A,1,patchy,3,4,1,R,233,11650.15,214.52625,0.785691342,0.742594474,0.96,0.035,0.035111111,0.00815,0.005533333,0.164333333,0.063,0.054,0.97,0,no_physiology,-11.4005894,0,39,40,25,35,,,,,,,,,
Oreothlypis virginiae,Oreothlypisvirginiae,VIWA,Ovirgin,Virginia's Warbler,bird,-0.115291299,TRUE,29.06028,41.87361,8.865714068,-0.05294076,8.710421348,7.327240759,-16.80939732,0.07210417,3.8,A,1,south,3,2,3,N,8.2,3742.1058,8.228615,0.764071727,0.617179284,0.96,0.012444444,0.011444444,0.0046,0.00335,0.053333333,0.023,0.022,0.97,0,no_physiology,-1.246983921,0,39,40,25,35,,,,,,,,,
Passer domesticus,Passerdomesticus,HOSP,Pdomest,House Sparrow,bird,-0.203293821,TRUE,20.623361,53.7235187,28.97289303,-0.042008129,28.88572616,28.10654422,-2.771671112,0.147224422,4.3,other,0,none,1,4,1,R,27.7,4829.6013,28.112352,0.789495504,0.657125772,0.96,0.018,0.015444444,0.005533333,0.003883333,0.087,0.030666667,0.032666667,0.97,0,no_physiology,-3.137237056,0,39,40,20,35,,,,,,,,,
Passerina amoena,Passerinaamoena,LAZB,Pamoena,Lazuli Bunting,bird,-0.088490542,FALSE,23.566667,50.901648,14.98843606,-0.019315819,14.99358695,14.53322659,-3.183397637,0.058621061,4,A,1,south,3,3,3,N,15.2,4132.4888,14.46129,0.788653038,0.646320923,0.96,0.014833333,0.014333333,0.006533333,0.00525,0.063,0.025,0.025666667,0.97,0,no_physiology,-1.61315365,0,39,40,25,35,,,,,,,,,
Phainopepla nitens,Phainopeplanitens,PHAI,Pnitens,Phainopepla,bird,-0.035655738,FALSE,25.933667,37.65638,24.46533393,0.05771375,25.00543825,25.9620631,3.7965608,0.06524983,2.5,A,0,north,2,4,2,T,22.6,4545.1794,25.197143,0.820049079,0.82000834,0.96,0.019777778,0.019666667,0.007536667,0.0061,0.077666667,0.034333333,0.031,0.97,0,no_physiology,-2.961178983,0,39,40,25,35,,,,,,,,,
